time,seconds_elapsed,dBFS
1723738175432000000,0.039,-53.771018981933594
1723738175545000000,0.152,-50.441062927246094
1723738175646000000,0.253000244140625,-52.691688537597656
1723738175746000000,0.352999755859375,-57.04969024658203
1723738175846000000,0.453000244140625,-59.83428955078125
1723738175947000000,0.554,-62.07289505004883
1723738176064000000,0.671,-63.41267395019531
1723738176164000000,0.771,-64.2361068725586
1723738176263000000,0.87,-61.206703186035156
1723738176363000000,0.97,-61.90736770629883
1723738176463000000,1.07,-63.42523956298828
1723738176564000000,1.171,-64.76243591308594
1723738176664000000,1.271,-61.99573516845703
1723738176764000000,1.371,-64.08490753173828
1723738176863000000,1.47,-65.77008056640625
1723738176963000000,1.57,-61.58855056762695
1723738177063000000,1.67,-63.500247955322266
1723738177163000000,1.77,-63.93674850463867
1723738177263000000,1.87,-64.30210876464844
1723738177363000000,1.97,-63.29448318481445
1723738177463000000,2.07,-63.6898193359375
1723738177563000000,2.17,-62.01406478881836
1723738177663000000,2.27,-62.63787078857422
1723738177763000000,2.37,-64.04149627685547
1723738177863000000,2.47,-65.14763641357422
1723738177963000000,2.57,-63.581390380859375
1723738178063000000,2.67,-64.77450561523438
1723738178163000000,2.77,-63.56467819213867
1723738178263000000,2.87,-64.65171813964844
1723738178363000000,2.97,-65.11148071289062
1723738178463000000,3.07,-65.72896575927734
1723738178563000000,3.17,-67.05511474609375
1723738178663000000,3.27,-67.15015411376953
1723738178763000000,3.37,-67.8658676147461
1723738178863000000,3.47,-65.3135757446289
1723738178963000000,3.57,-66.35108947753906
1723738179064000000,3.671,-67.15637969970703
1723738179163000000,3.77,-67.45296478271484
1723738179263000000,3.87,-67.62351989746094
1723738179363000000,3.97,-67.2142333984375
1723738179464000000,4.071,-66.95682525634766
1723738179564000000,4.171,-67.47032165527344
1723738179663000000,4.27,-67.3079605102539
1723738179763000000,4.37,-65.5261001586914
1723738179863000000,4.47,-65.8838119506836
1723738179963000000,4.57,-66.78852081298828
1723738180063000000,4.67,-67.50931549072266
1723738180163000000,4.77,-67.8318099975586
1723738180263000000,4.87,-69.90763854980469
1723738180363000000,4.97,-70.78485107421875
1723738180463000000,5.07,-71.380859375
1723738180563000000,5.17,-68.5242919921875
1723738180663000000,5.27,-68.36209869384766
1723738180763000000,5.37,-67.75045776367188
1723738180879000000,5.486,-66.6988296508789
1723738180980000000,5.587,-66.82875061035156
1723738181079000000,5.686,-65.78202056884766
1723738181179000000,5.786,-65.22917175292969
1723738181279000000,5.886,-64.13409423828125
1723738181380000000,5.987,-65.71673583984375
1723738181480000000,6.087,-66.77022552490234
1723738181580000000,6.187,-65.14807891845703
1723738181680000000,6.287,-66.56715393066406
1723738181780000000,6.387,-68.8860855102539
1723738181896000000,6.503,-72.09934997558594
1723738181996000000,6.603,-73.80463409423828
1723738182096000000,6.703,-75.54275512695312
