time,seconds_elapsed,dBFS
1724857004061000000,0.036,-32.295841217041016
1724857004175000000,0.15,-32.121849060058594
1724857004275000000,0.25,-34.24687194824219
1724857004376000000,0.351,-34.36347198486328
1724857004476000000,0.451,-35.042911529541016
1724857004576000000,0.551,-30.629024505615234
1724857004693000000,0.668,-29.55681037902832
1724857004809000000,0.784,-28.304241180419922
1724857004909000000,0.884,-28.580387115478516
1724857005009000000,0.984,-26.257837295532227
1724857005109000000,1.084,-27.834850311279297
1724857005209000000,1.184,-30.05614471435547
1724857005309000000,1.284,-32.48476791381836
1724857005409000000,1.384,-34.771297454833984
1724857005509000000,1.484,-34.22433853149414
1724857005609000000,1.584,-35.82346725463867
1724857005709000000,1.684,-28.812679290771484
1724857005809000000,1.784,-30.105030059814453
1724857005926000000,1.901000244140625,-32.208797454833984
1724857006042000000,2.016999755859375,-34.517295837402344
1724857006142000000,2.117000244140625,-30.26336097717285
1724857006242000000,2.216999755859375,-28.697086334228516
1724857006342000000,2.317000244140625,-28.31332015991211
1724857006443000000,2.418,-30.644662857055664
1724857006542000000,2.517000244140625,-32.357879638671875
1724857006643000000,2.618,-33.81009292602539
1724857006742000000,2.717000244140625,-35.04030227661133
1724857006842000000,2.816999755859375,-32.49543380737305
1724857006942000000,2.917000244140625,-27.245426177978516
1724857007042000000,3.016999755859375,-27.00778579711914
1724857007142000000,3.117000244140625,-29.37152862548828
1724857007243000000,3.218,-30.563709259033203
1724857007342000000,3.317000244140625,-33.30399703979492
1724857007443000000,3.418,-35.291961669921875
1724857007559000000,3.534,-32.432044982910156
1724857007659000000,3.634,-31.9572811126709
1724857007759000000,3.734,-31.394113540649414
1724857007859000000,3.834,-32.57472229003906
1724857007971000000,3.946,-32.92960739135742
1724857008076000000,4.051,-34.44011306762695
1724857008192000000,4.167,-32.43629455566406
1724857008296000000,4.271,-23.25511932373047
1724857008409000000,4.384,-23.513992309570312
1724857008509000000,4.484,-26.18565559387207
1724857008609000000,4.584,-28.314908981323242
1724857008709000000,4.684,-30.810497283935547
1724857008809000000,4.784,-30.723304748535156
1724857008909000000,4.884,-33.0357780456543
1724857009026000000,5.000999755859375,-25.630184173583984
1724857009142000000,5.117000244140625,-27.393213272094727
1724857009242000000,5.216999755859375,-30.166717529296875
1724857009343000000,5.318,-32.028385162353516
1724857009442000000,5.416999755859375,-33.13619613647461
1724857009542000000,5.517000244140625,-31.96186637878418
1724857009642000000,5.616999755859375,-33.673362731933594
1724857009742000000,5.717000244140625,-32.37236404418945
1724857009842000000,5.816999755859375,-31.778663635253906
1724857009942000000,5.917000244140625,-33.44731521606445
1724857010042000000,6.016999755859375,-26.79893684387207
1724857010142000000,6.117000244140625,-27.015249252319336
1724857010242000000,6.216999755859375,-29.652372360229492
1724857010342000000,6.317000244140625,-32.67897415161133
1724857010442000000,6.416999755859375,-34.90611267089844
1724857010542000000,6.517000244140625,-34.87800216674805
1724857010642000000,6.616999755859375,-37.28420639038086
1724857010742000000,6.717000244140625,-35.727149963378906
1724857010842000000,6.816999755859375,-34.72880172729492
1724857010942000000,6.917000244140625,-33.00251770019531
1724857011042000000,7.016999755859375,-32.21123123168945
1724857011142000000,7.117000244140625,-30.499670028686523
1724857011243000000,7.218,-32.781864166259766
1724857011342000000,7.317000244140625,-23.048248291015625
1724857011442000000,7.416999755859375,-26.62274742126465
1724857011542000000,7.517000244140625,-29.15486717224121
1724857011642000000,7.616999755859375,-31.119400024414062
1724857011742000000,7.717000244140625,-32.83541488647461
1724857011842000000,7.816999755859375,-29.97185707092285
1724857011942000000,7.917000244140625,-32.73021697998047
1724857012042000000,8.016999755859375,-34.05791091918945
1724857012142000000,8.117000244140625,-31.55657958984375
1724857012242000000,8.216999755859375,-33.34048843383789
1724857012342000000,8.317000244140624,-33.53300857543945
1724857012442000000,8.416999755859376,-35.4407958984375
1724857012542000000,8.517000244140625,-32.66202926635742
1724857012642000000,8.616999755859375,-34.752628326416016
1724857012742000000,8.717000244140625,-32.867000579833984
1724857012842000000,8.816999755859374,-31.40292739868164
1724857012942000000,8.917000244140626,-33.22388458251953
1724857013042000000,9.016999755859375,-33.54782485961914
1724857013142000000,9.117000244140625,-32.627716064453125
1724857013242000000,9.216999755859375,-32.22046661376953
1724857013342000000,9.317000244140624,-33.673274993896484
1724857013442000000,9.416999755859376,-34.921932220458984
1724857013559000000,9.534,-34.38022232055664
1724857013675000000,9.65,-35.58442306518555
1724857013775000000,9.75,-35.695072174072266
1724857013875000000,9.85,-36.850467681884766
1724857013976000000,9.951,-35.73859405517578
1724857014075000000,10.05,-31.158781051635742
1724857014175000000,10.15,-30.187503814697266
1724857014275000000,10.25,-33.278236389160156
1724857014375000000,10.35,-34.22172546386719
1724857014475000000,10.45,-36.33871078491211
1724857014576000000,10.551,-34.041595458984375
1724857014675000000,10.65,-35.6403923034668
1724857014776000000,10.751,-35.129669189453125
1724857014875000000,10.85,-30.514253616333008
1724857014976000000,10.951,-30.327733993530273
1724857015075000000,11.05,-33.3039665222168
1724857015175000000,11.15,-32.87948226928711
1724857015275000000,11.25,-34.21834945678711
1724857015375000000,11.35,-36.65776443481445
1724857015476000000,11.451,-33.23143768310547
1724857015575000000,11.55,-35.50580978393555
1724857015675000000,11.65,-33.26311111450195
1724857015775000000,11.75,-35.16088104248047
1724857015875000000,11.85,-32.38491439819336
1724857015975000000,11.95,-33.09382247924805
1724857016075000000,12.05,-30.82525634765625
1724857016175000000,12.15,-33.09590530395508
1724857016275000000,12.25,-35.48457717895508
1724857016375000000,12.35,-35.06792449951172
1724857016475000000,12.45,-36.0350456237793
1724857016575000000,12.55,-31.77361488342285
1724857016675000000,12.65,-33.731998443603516
1724857016775000000,12.75,-32.505828857421875
1724857016875000000,12.85,-33.45125198364258
1724857016975000000,12.95,-35.23677062988281
1724857017075000000,13.05,-33.11357498168945
1724857017175000000,13.15,-34.74014663696289
1724857017275000000,13.25,-32.27540588378906
1724857017375000000,13.35,-34.04738235473633
1724857017475000000,13.45,-35.001888275146484
1724857017575000000,13.55,-35.7066535949707
1724857017675000000,13.65,-33.852169036865234
1724857017775000000,13.75,-35.83405685424805
1724857017875000000,13.85,-34.14332580566406
1724857017975000000,13.95,-36.09142303466797
1724857018075000000,14.05,-33.951011657714844
1724857018175000000,14.15,-34.17965316772461
1724857018275000000,14.25,-35.30687713623047
1724857018375000000,14.35,-31.980701446533203
1724857018475000000,14.45,-34.765933990478516
1724857018575000000,14.55,-34.62358093261719
1724857018675000000,14.65,-31.50628089904785
1724857018775000000,14.75,-29.700641632080078
1724857018875000000,14.85,-31.051319122314453
1724857018975000000,14.95,-32.35831069946289
1724857019075000000,15.05,-33.322818756103516
1724857019175000000,15.15,-34.91677474975586
1724857019275000000,15.25,-36.72610092163086
1724857019375000000,15.35,-32.96269989013672
1724857019475000000,15.45,-31.01177406311035
1724857019592000000,15.567,-32.56743240356445
1724857019709000000,15.684,-30.135398864746094
1724857019809000000,15.784,-32.11264419555664
1724857019909000000,15.884,-31.527048110961914
1724857020009000000,15.984,-30.061817169189453
1724857020109000000,16.084,-31.697999954223633
1724857020209000000,16.184,-33.15849304199219
1724857020309000000,16.284,-34.408653259277344
1724857020408000000,16.383,-36.264366149902344
1724857020508000000,16.483,-30.940874099731445
1724857020609000000,16.584,-33.419132232666016
1724857020708000000,16.683,-35.048187255859375
1724857020808000000,16.783,-34.21741485595703
1724857020908000000,16.883,-35.439857482910156
1724857021009000000,16.984,-36.074058532714844
1724857021108000000,17.083,-37.34455108642578
1724857021208000000,17.183,-34.11426544189453
1724857021308000000,17.283,-34.00516128540039
1724857021408000000,17.383,-35.577877044677734
1724857021508000000,17.483,-33.33909606933594
1724857021608000000,17.583,-32.44673156738281
1724857021708000000,17.683,-32.77571105957031
1724857021808000000,17.783,-33.62177658081055
1724857021908000000,17.883,-34.894832611083984
1724857022008000000,17.983,-36.977542877197266
1724857022108000000,18.083,-33.81090545654297
1724857022208000000,18.183,-36.45417785644531
1724857022308000000,18.283,-34.480838775634766
1724857022408000000,18.383,-35.041194915771484
1724857022508000000,18.483,-34.543094635009766
1724857022608000000,18.583,-33.75817108154297
1724857022708000000,18.683,-33.73346710205078
1724857022808000000,18.783,-35.015987396240234
1724857022908000000,18.883,-35.82102584838867
1724857023008000000,18.983,-36.2684326171875
1724857023108000000,19.083,-34.34515380859375
1724857023208000000,19.183,-32.5773811340332
1724857023308000000,19.283,-34.07792663574219
1724857023408000000,19.383,-35.59149932861328
1724857023508000000,19.483,-36.622745513916016
1724857023608000000,19.583,-34.309814453125
1724857023708000000,19.683,-31.676963806152344
1724857023808000000,19.783,-34.479217529296875
1724857023908000000,19.883,-30.561616897583008
1724857024008000000,19.983,-32.31765365600586
1724857024109000000,20.084,-30.25600814819336
1724857024208000000,20.183,-31.92914390563965
1724857024308000000,20.283,-33.71979904174805
1724857024408000000,20.383,-32.25787353515625
1724857024508000000,20.483,-31.269906997680664
1724857024608000000,20.583,-32.176795959472656
1724857024708000000,20.683,-32.70340347290039
1724857024808000000,20.783,-31.753318786621094
1724857024908000000,20.883,-33.37369918823242
1724857025008000000,20.983,-33.14436721801758
1724857025108000000,21.083,-31.2513427734375
1724857025225000000,21.2,-33.207759857177734
1724857025325000000,21.3,-31.33099937438965
1724857025425000000,21.4,-33.21075439453125
1724857025535000000,21.51,-30.874080657958984
1724857025641000000,21.616,-33.49993133544922
1724857025741000000,21.716,-34.28346252441406
1724857025841000000,21.816,-35.811279296875
